title,targets,authors
Low-density parity check codes over GF(q),A study of unsupervised adaptive crowdsourcing,"Matthew C. Davey,David J. C. MacKay","George Kesidis,Aditya Kurve"
Low-density parity check codes over GF(q),Probabilistic Inference in Graphical Models,"Matthew C. Davey,David J. C. MacKay","Michael I. Jordan,Yair Weiss"
Low-density parity check codes over GF(q),Generalized Union Bound for Space-Time Codes,"Matthew C. Davey,David J. C. MacKay","Cong Ling"
Low-density parity check codes over GF(q),Combined Analog and Digital Error-Correcting Codes For Analog Information Sources,"Matthew C. Davey,David J. C. MacKay","Isaac Rosenhouse,Anthony J. Weiss"
Low-density parity check codes over GF(q),Partial Network Coding: Theory and Application for Continuous Sensor Data Collection,"Matthew C. Davey,David J. C. MacKay","Dan Wang,Qian Zhang,Jiangchuan Liu"
Low-density parity check codes over GF(q),Syndrome Source Coding for Lossless Data Compression Based on Linear Block Codes,"Matthew C. Davey,David J. C. MacKay","Xiaoyan Wu"
Low-density parity check codes over GF(q),Power-efficient LDPC code decoder architecture,"Matthew C. Davey,David J. C. MacKay","Kazunori Shimizu,Nozomu Togawa,Takeshi Ikenaga,Satoshi Goto"
Low-density parity check codes over GF(q),Mimo-ofdm over an Underwater Acoustic Channel,"Matthew C. Davey,David J. C. MacKay","Baosheng Li,Shengli Zhou,Milica Stojanovic,Lee Freitag,Jie Huang,Peter Willett"
Low-density parity check codes over GF(q),Soft McEliece: MDPC code-based McEliece cryptosystems with very compact keys through real-valued intentional errors,"Matthew C. Davey,David J. C. MacKay","Marco Baldi,Paolo Santini,Franco Chiaraluce"
Low-density parity check codes over GF(q),A Novel Architecture for Scalable  High Throughput  Multi-standard LDPC Decoder,"Matthew C. Davey,David J. C. MacKay","Muhammad Awais,Ashwani Singh,Emmanuel Boutillon,Guido Masera"
Low-density parity check codes over GF(q),Near-Shannon-Limit Linear-Time-Encodable Nonbinary Irregular LDPC Codes,"Matthew C. Davey,David J. C. MacKay","Jie Huang,Shengli Zhou,Peter Willett"
Low-density parity check codes over GF(q),Embedding polynomial time memory mapping and routing algorithms on-chip to design configurable decoder architectures,"Matthew C. Davey,David J. C. MacKay","Saeed-ur Rehman,Awais Sani,Cyrille Chavet,Philippe Coussy"
Low-density parity check codes over GF(q),An Ldpc Decoding Algorithm Utilizing Early Decisions,"Matthew C. Davey,David J. C. MacKay","Anton Blad,Oscar Gustafsson,Lars Wanhammar"
Low-density parity check codes over GF(q),Efficient decoder design for high-throughput LDPC decoding,"Matthew C. Davey,David J. C. MacKay","Zhiqiang Cui,Zhongfeng Wang,Xinmiao Zhang,Qingwei Jia"
Low-density parity check codes over GF(q),Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,"Matthew C. Davey,David J. C. MacKay","Erdal Arikan"
Low-density parity check codes over GF(q),Source and Channel Optimal Rate LDPC Code Design for one Sender in BE-MAC with Source Correlation,"Matthew C. Davey,David J. C. MacKay","Hassan Tavakoli"
Mimo-ofdm over an Underwater Acoustic Channel,Peer-reviewed Technical Communication Multicarrier Communication over Underwater Acoustic Channels with Nonuniform Doppler Shifts,"Baosheng Li,Shengli Zhou,Milica Stojanovic,Lee Freitag,Jie Huang,Peter Willett","Baosheng Li,Shengli Zhou,Milica Stojanovic,Lee Freitag,Peter Willett,Mitra B Li,S Zhou,P Willett,M Stojanovic"
Mimo-ofdm over an Underwater Acoustic Channel,Efficient Implementation of Elliptic Curve Cryptography on Dsp for Underwater Sensor Networks,"Baosheng Li,Shengli Zhou,Milica Stojanovic,Lee Freitag,Jie Huang,Peter Willett","Hai Yan,Jerry Zhijie,Yunsi Shi,Fei"
